Id_KPIKaryawan,Id_karyawan,nama_Karyawan,Department,status_kehadiran_pelatihan,Status_Kerja,EnvironmentSatisfaction,JobSatisfaction,id_cabang,id_tahun
174,174,Kai,Research & Development,HADIR,AKTIF,3,1,2,1
175,175,Finlay,Sales,HADIR,AKTIF,3,1,2,1
176,176,Odetta,Research & Development,TIDAK HADIR,AKTIF,3,1,3,1
177,177,Miltie,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
178,178,Sherry,Research & Development,HADIR,AKTIF,2,4,5,1
179,179,Jobyna,Sales,HADIR,AKTIF,2,1,5,1
180,180,Susanne,Research & Development,HADIR,AKTIF,3,4,2,1
181,181,Gilles,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
182,182,Augustine,Research & Development,HADIR,AKTIF,4,2,4,1
183,183,Felecia,Sales,HADIR,AKTIF,2,2,3,1
184,184,Merrielle,Research & Development,TIDAK HADIR,AKTIF,3,3,5,1
185,185,Tami,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
186,186,Carlie,Research & Development,HADIR,AKTIF,4,2,1,1
187,187,Carri,Research & Development,TIDAK HADIR,AKTIF,4,3,2,1
188,188,Milo,Research & Development,TIDAK HADIR,AKTIF,3,2,4,1
189,189,Noelani,Research & Development,TIDAK HADIR,AKTIF,4,3,4,1
190,190,Aland,Research & Development,HADIR,AKTIF,4,2,3,1
191,191,Jerry,Research & Development,HADIR,AKTIF,3,3,4,1
192,192,Winni,Research & Development,HADIR,AKTIF,4,2,2,1
193,193,Jolyn,Research & Development,TIDAK HADIR,AKTIF,2,3,5,1
194,194,Gabbey,Research & Development,HADIR,AKTIF,4,4,5,1
195,195,Meaghan,Research & Development,TIDAK HADIR,AKTIF,1,4,2,1
196,196,Anny,Research & Development,TIDAK HADIR,AKTIF,2,1,4,1
197,197,Kath,Research & Development,HADIR,AKTIF,2,2,4,1
198,198,Wyatt,Research & Development,HADIR,AKTIF,3,3,3,1
199,199,Bette,Research & Development,HADIR,AKTIF,4,3,2,1
200,200,Brynne,Research & Development,HADIR,AKTIF,4,4,5,1
201,201,Erick,Research & Development,TIDAK HADIR,AKTIF,3,1,2,1
202,202,Adan,Research & Development,HADIR,AKTIF,4,4,4,1
203,203,Retha,Research & Development,HADIR,AKTIF,4,3,5,1
204,204,Hadrian,Research & Development,TIDAK HADIR,RESIGN,0,0,3,1
205,205,Gunther,Research & Development,HADIR,AKTIF,2,1,5,1
206,206,Tarah,Sales,HADIR,AKTIF,2,4,2,1
207,207,Bard,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
208,208,Melita,Research & Development,HADIR,AKTIF,2,4,3,1
209,209,Chandler,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
210,210,Rica,Research & Development,TIDAK HADIR,AKTIF,4,1,1,1
211,211,Keven,Sales,HADIR,AKTIF,4,4,5,1
212,212,Purcell,Research & Development,HADIR,AKTIF,3,3,4,1
213,213,Salim,Sales,TIDAK HADIR,AKTIF,4,3,3,1
214,214,Kiah,Research & Development,HADIR,AKTIF,2,2,5,1
215,215,Merrick,Research & Development,HADIR,AKTIF,4,1,3,1
216,216,Elka,Sales,HADIR,AKTIF,4,4,4,1
217,217,Karney,Sales,HADIR,AKTIF,3,1,2,1
218,218,Arda,Research & Development,HADIR,AKTIF,3,3,2,1
219,219,Blythe,Sales,HADIR,AKTIF,4,4,4,1
220,220,Brier,Sales,HADIR,AKTIF,4,1,1,1
221,221,Alan,Research & Development,HADIR,AKTIF,4,2,2,1
222,222,Morse,Research & Development,HADIR,AKTIF,3,2,4,1
223,223,Belva,Research & Development,TIDAK HADIR,AKTIF,2,4,2,1
224,224,Adrea,Sales,TIDAK HADIR,AKTIF,1,3,4,1
225,225,Vannie,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
226,226,Ava,Research & Development,HADIR,AKTIF,3,4,4,1
227,227,Dale,Sales,TIDAK HADIR,AKTIF,1,4,2,1
228,228,Chad,Sales,TIDAK HADIR,RESIGN,0,0,2,1
229,229,Rudy,Sales,TIDAK HADIR,AKTIF,3,3,2,1
230,230,Donavon,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
231,231,Orazio,Research & Development,TIDAK HADIR,AKTIF,3,4,1,1
232,232,Lindon,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
233,233,Nanette,Human Resources,TIDAK HADIR,AKTIF,2,3,4,1
234,234,Avigdor,Sales,TIDAK HADIR,AKTIF,4,4,2,1
235,235,Kiley,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
236,236,Margaret,Sales,TIDAK HADIR,AKTIF,4,4,4,1
237,237,Gusty,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
238,238,Beverley,Sales,TIDAK HADIR,AKTIF,1,3,4,1
239,239,Erinn,Sales,TIDAK HADIR,AKTIF,3,2,5,1
240,240,Susie,Research & Development,HADIR,AKTIF,4,3,5,1
241,241,Dagny,Research & Development,HADIR,AKTIF,3,3,4,1
242,242,Avigdor,Sales,HADIR,AKTIF,3,4,3,1
243,243,Adelice,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
244,244,Kile,Research & Development,HADIR,AKTIF,1,4,2,1
245,245,Ciel,Research & Development,HADIR,AKTIF,3,4,5,1
246,246,Hasty,Research & Development,HADIR,AKTIF,2,3,1,1
247,247,Patricio,Research & Development,HADIR,AKTIF,3,4,5,1
248,248,Cindra,Research & Development,HADIR,AKTIF,4,1,2,1
249,249,Kerstin,Research & Development,TIDAK HADIR,AKTIF,3,1,4,1
250,250,Gypsy,Research & Development,HADIR,AKTIF,1,3,4,1
251,251,Crichton,Research & Development,HADIR,AKTIF,1,3,4,1
252,252,Robert,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
253,253,Silva,Research & Development,HADIR,AKTIF,3,4,3,1
254,254,Nelson,Research & Development,TIDAK HADIR,AKTIF,4,1,2,1
255,255,Darla,Sales,TIDAK HADIR,AKTIF,4,4,2,1
256,256,Lanie,Research & Development,HADIR,AKTIF,1,3,5,1
257,257,Briana,Research & Development,HADIR,AKTIF,4,1,5,1
258,258,Gwenny,Research & Development,HADIR,AKTIF,1,3,3,1
259,259,Reynold,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
260,260,Denyse,Research & Development,HADIR,AKTIF,3,2,5,1
261,261,Conrado,Research & Development,TIDAK HADIR,AKTIF,2,2,5,1
262,262,Rubina,Sales,TIDAK HADIR,RESIGN,0,0,4,1
263,263,Lebbie,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
264,264,Ollie,Sales,TIDAK HADIR,AKTIF,3,2,5,1
265,265,Jemmie,Research & Development,TIDAK HADIR,AKTIF,1,3,4,1
266,266,Lock,Sales,TIDAK HADIR,AKTIF,1,2,5,1
267,267,Tristam,Research & Development,HADIR,AKTIF,2,4,2,1
268,268,Sauveur,Research & Development,HADIR,AKTIF,2,1,4,1
269,269,Bernadine,Research & Development,TIDAK HADIR,AKTIF,3,4,4,1
270,270,Nathanil,Research & Development,TIDAK HADIR,AKTIF,4,4,4,1
271,271,Britta,Research & Development,HADIR,AKTIF,4,1,2,1
272,272,Emmeline,Research & Development,TIDAK HADIR,AKTIF,1,2,4,1
273,273,Paulina,Research & Development,TIDAK HADIR,AKTIF,4,4,5,1
274,274,Brinn,Sales,TIDAK HADIR,AKTIF,3,4,2,1
275,275,Ashli,Research & Development,TIDAK HADIR,AKTIF,4,3,3,1
276,276,Tonye,Research & Development,TIDAK HADIR,AKTIF,1,4,4,1
277,277,Avie,Research & Development,HADIR,AKTIF,2,2,5,1
278,278,Chico,Sales,HADIR,AKTIF,1,1,2,1
279,279,Donnajean,Research & Development,TIDAK HADIR,AKTIF,3,2,3,1
280,280,Jodie,Research & Development,TIDAK HADIR,AKTIF,1,2,5,1
281,281,Thayne,Research & Development,HADIR,AKTIF,3,3,2,1
282,282,Hilarius,Sales,TIDAK HADIR,AKTIF,2,3,3,1
283,283,Johnny,Sales,TIDAK HADIR,AKTIF,2,4,2,1
284,284,Harley,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
285,285,Marysa,Research & Development,TIDAK HADIR,AKTIF,1,1,2,1
286,286,Irwin,Research & Development,TIDAK HADIR,AKTIF,4,4,2,1
287,287,Sherill,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
288,288,Cully,Research & Development,TIDAK HADIR,AKTIF,4,4,2,1
289,289,Joanne,Research & Development,HADIR,AKTIF,1,2,5,1
290,290,Phaedra,Research & Development,TIDAK HADIR,AKTIF,4,4,4,1
291,291,Bastian,Research & Development,TIDAK HADIR,AKTIF,3,1,4,1
292,292,Marie-ann,Research & Development,TIDAK HADIR,AKTIF,3,2,1,1
293,293,Shannon,Sales,TIDAK HADIR,AKTIF,4,2,2,1
294,294,Ludovico,Sales,HADIR,AKTIF,4,4,5,1
295,295,Yvon,Research & Development,TIDAK HADIR,AKTIF,2,4,2,1
296,296,Cirillo,Sales,TIDAK HADIR,AKTIF,3,2,3,1
297,297,Ofelia,Research & Development,TIDAK HADIR,AKTIF,3,3,5,1
298,298,Cad,Sales,HADIR,AKTIF,3,2,2,1
299,299,Toddy,Research & Development,HADIR,AKTIF,3,4,4,1
300,300,Yoshiko,Research & Development,HADIR,AKTIF,4,2,5,1
301,301,Allistir,Sales,TIDAK HADIR,AKTIF,4,2,2,1
302,302,Derby,Sales,HADIR,AKTIF,4,3,1,1
303,303,Delphine,Research & Development,TIDAK HADIR,AKTIF,2,1,5,1
304,304,Sophia,Sales,TIDAK HADIR,AKTIF,2,4,2,1
305,305,Charley,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
306,306,Reidar,Research & Development,HADIR,AKTIF,2,2,2,1
307,307,Donetta,Sales,HADIR,AKTIF,4,3,4,1
308,308,Lu,Research & Development,HADIR,AKTIF,1,2,4,1
309,309,Ailyn,Research & Development,HADIR,AKTIF,4,3,5,1
310,310,Dorothee,Research & Development,TIDAK HADIR,AKTIF,3,4,3,1
311,311,Emmalynne,Human Resources,HADIR,AKTIF,1,1,2,1
312,312,Elwyn,Research & Development,HADIR,AKTIF,1,1,5,1
313,313,Tabina,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
314,314,Simona,Research & Development,TIDAK HADIR,AKTIF,4,2,2,1
315,315,Roderich,Research & Development,TIDAK HADIR,AKTIF,3,1,3,1
316,316,Ann,Research & Development,HADIR,AKTIF,3,4,5,1
317,317,Malcolm,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
318,318,Nikki,Research & Development,HADIR,AKTIF,3,2,4,1
319,319,Diarmid,Research & Development,TIDAK HADIR,AKTIF,3,2,2,1
320,320,Caye,Sales,TIDAK HADIR,AKTIF,3,2,3,1
321,321,Lorain,Sales,TIDAK HADIR,AKTIF,4,3,2,1
322,322,Henry,Sales,HADIR,AKTIF,4,4,5,1
323,323,Minnie,Research & Development,TIDAK HADIR,AKTIF,1,4,5,1
324,324,Branden,Research & Development,TIDAK HADIR,AKTIF,1,4,4,1
325,325,Ariel,Research & Development,TIDAK HADIR,AKTIF,4,4,3,1
326,326,Curran,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
327,327,Darlleen,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
328,328,Appolonia,Sales,HADIR,AKTIF,4,3,2,1
329,329,Jamie,Sales,HADIR,AKTIF,2,4,2,1
330,330,Clevie,Research & Development,TIDAK HADIR,AKTIF,4,3,4,1
331,331,Paten,Research & Development,HADIR,AKTIF,3,3,4,1
332,332,Gusella,Sales,HADIR,AKTIF,3,2,2,1
333,333,Marty,Research & Development,TIDAK HADIR,AKTIF,4,3,2,1
334,334,Filippo,Research & Development,TIDAK HADIR,AKTIF,3,1,2,1
335,335,Cathryn,Research & Development,HADIR,AKTIF,4,4,1,1
336,336,Ryon,Sales,HADIR,AKTIF,2,4,5,1
337,337,Dickie,Research & Development,TIDAK HADIR,AKTIF,2,1,3,1
338,338,Rey,Research & Development,HADIR,AKTIF,2,4,5,1
339,339,Meredeth,Sales,HADIR,AKTIF,4,3,4,1
340,340,Fremont,Sales,TIDAK HADIR,AKTIF,2,2,1,1
341,341,Osbourne,Research & Development,TIDAK HADIR,AKTIF,4,4,4,1
342,342,Thomasin,Research & Development,HADIR,AKTIF,3,4,5,1
343,343,Keeley,Research & Development,HADIR,AKTIF,3,4,2,1
344,344,Giustina,Sales,TIDAK HADIR,RESIGN,0,0,5,1
345,345,Karyn,Research & Development,TIDAK HADIR,AKTIF,3,2,4,1
346,346,Hodge,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
347,347,Peggy,Research & Development,TIDAK HADIR,AKTIF,4,2,2,1
348,348,Herb,Sales,HADIR,AKTIF,2,3,5,1
349,349,Kelsy,Research & Development,TIDAK HADIR,RESIGN,0,0,3,1
350,350,Anne,Sales,TIDAK HADIR,AKTIF,4,3,3,1
351,351,Gizela,Human Resources,TIDAK HADIR,RESIGN,0,0,5,1
352,352,Leese,Research & Development,TIDAK HADIR,AKTIF,3,2,3,1
353,353,Deerdre,Sales,HADIR,AKTIF,1,3,4,1
354,354,Ashla,Research & Development,HADIR,AKTIF,3,1,5,1
355,355,Fayre,Sales,HADIR,AKTIF,4,3,4,1
356,356,Albie,Sales,HADIR,AKTIF,3,3,2,1
357,357,Buiron,Research & Development,TIDAK HADIR,AKTIF,1,4,2,1
358,358,Linnea,Sales,TIDAK HADIR,RESIGN,0,0,2,1
359,359,Noelani,Sales,TIDAK HADIR,AKTIF,4,4,2,1
360,360,Tomas,Sales,HADIR,AKTIF,1,4,5,1
361,361,Susann,Research & Development,HADIR,AKTIF,4,3,2,1
362,362,Dell,Research & Development,HADIR,AKTIF,4,3,5,1
363,363,Deanna,Sales,HADIR,AKTIF,1,4,5,1
364,364,Erny,Sales,HADIR,AKTIF,4,3,4,1
365,365,Netta,Research & Development,HADIR,AKTIF,3,1,5,1
366,366,Daveen,Research & Development,TIDAK HADIR,AKTIF,3,3,4,1
367,367,Bartram,Sales,TIDAK HADIR,AKTIF,1,2,2,1
368,368,Artemis,Research & Development,TIDAK HADIR,AKTIF,4,4,2,1
369,369,Aila,Sales,TIDAK HADIR,RESIGN,0,0,3,1
370,370,Lindi,Research & Development,TIDAK HADIR,AKTIF,3,2,3,1
371,371,Phaidra,Sales,TIDAK HADIR,AKTIF,3,2,1,1
372,372,Minny,Research & Development,TIDAK HADIR,AKTIF,4,4,5,1
373,373,Salvidor,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
374,374,Trudey,Research & Development,HADIR,AKTIF,4,2,4,1
375,375,Sena,Sales,TIDAK HADIR,AKTIF,2,4,4,1
376,376,Jaymee,Research & Development,HADIR,AKTIF,2,3,5,1
377,377,Merrick,Sales,TIDAK HADIR,AKTIF,3,4,5,1
378,378,Dulcine,Research & Development,TIDAK HADIR,AKTIF,4,3,3,1
379,379,Shelbi,Sales,HADIR,AKTIF,1,4,2,1
380,380,Odetta,Research & Development,HADIR,AKTIF,3,4,2,1
381,381,Ariel,Sales,HADIR,AKTIF,4,3,2,1
382,382,Delphinia,Sales,TIDAK HADIR,RESIGN,0,0,2,1
383,383,Janaye,Research & Development,TIDAK HADIR,AKTIF,3,1,2,1
